,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
101,mechanical-engineering,202,Universidade de Lisboa,Portugal,Lisbon,40.3,62.9,"48,404",https://www.usnews.com/education/best-global-universities/universidade-de-lisboa-501120
102,mechanical-engineering,710,Cranfield University,United Kingdom,Cranfield,40,45.4,N/A,https://www.usnews.com/education/best-global-universities/cranfield-university-500995
103,mechanical-engineering,95,Hong Kong University of Science & Technology,Hong Kong,Hong Kong,39.9,70.6,"9,864",https://www.usnews.com/education/best-global-universities/hong-kong-university-of-science-technology-503260
104,mechanical-engineering,60,Universite Paris Saclay,France,Saint-Aubin,39.8,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
105,mechanical-engineering,81,University of Tokyo,Japan,Tokyo,38.7,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
106,mechanical-engineering,150,Wuhan University,China,Wuhan,38.5,66.2,N/A,https://www.usnews.com/education/best-global-universities/wuhan-university-503252
107,mechanical-engineering,134,University of Sheffield,United Kingdom,Sheffield,38.2,67.3,"27,840",https://www.usnews.com/education/best-global-universities/university-of-sheffield-503922
108,mechanical-engineering,485,Brunel University,United Kingdom,Uxbridge,38.1,51.9,"14,185",https://www.usnews.com/education/best-global-universities/brunel-university-502232
109,mechanical-engineering,413,Universite de Lorraine,France,Nancy,37.6,54.1,"61,235",https://www.usnews.com/education/best-global-universities/universite-de-lorraine-529568
110,mechanical-engineering,286,Tohoku University,Japan,Sendai,37.5,59,"17,812",https://www.usnews.com/education/best-global-universities/tohoku-university-500862
111,mechanical-engineering,74,University of Adelaide,Australia,Adelaide,37.5,72.8,"23,102",https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015
112,mechanical-engineering,63,University of Manchester,United Kingdom,Manchester,37.5,73.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-manchester-500273
113,mechanical-engineering,282,Korea Advanced Institute of Science & Technology (KAIST),South Korea,Daejeon,37.4,59.1,"9,946",https://www.usnews.com/education/best-global-universities/korea-advanced-institute-of-science-technology-kaist-506336
114,mechanical-engineering,240,Royal Institute of Technology,Sweden,Stockholm,37.2,61,N/A,https://www.usnews.com/education/best-global-universities/royal-institute-of-technology-505970
115,mechanical-engineering,504,Polytechnic University of Turin,Italy,Turin,37,51.1,"29,428",https://www.usnews.com/education/best-global-universities/polytechnic-university-of-turin-502577
116,mechanical-engineering,653,Guangdong University of Technology,China,Guangzhou,36.6,46.8,"46,040",https://www.usnews.com/education/best-global-universities/guangdong-university-of-technology-529270
117,mechanical-engineering,35,University of British Columbia,Canada,Vancouver,36.5,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
118,mechanical-engineering,39,Peking University,China,Beijing,35.8,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
119,mechanical-engineering,55,Ohio State University,United States,Columbus,35.5,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
120,mechanical-engineering,160,Curtin University,Australia,Bentley,34.8,65.8,"29,999",https://www.usnews.com/education/best-global-universities/curtin-university-503377
121,mechanical-engineering,16,Princeton University,United States,Princeton,34.8,83.9,N/A,https://www.usnews.com/education/best-global-universities/princeton-university-186131
122,mechanical-engineering,"1,251",University Kashan,Iran,Kashan,34.5,33.3,N/A,https://www.usnews.com/education/best-global-universities/university-kashan-529415
123,mechanical-engineering,263,Iowa State University,United States,Ames,34.3,60,N/A,https://www.usnews.com/education/best-global-universities/iowa-state-university-153603
124,mechanical-engineering,618,Nanjing Tech University,China,Nanjing,34.3,47.9,"38,866",https://www.usnews.com/education/best-global-universities/nanjing-tech-university-501774
125,mechanical-engineering,89,University of Birmingham,United Kingdom,Birmingham (U.K.),34.1,71.3,"32,560",https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524
126,mechanical-engineering,379,University of Strathclyde,United Kingdom,Glasgow,33.7,55,N/A,https://www.usnews.com/education/best-global-universities/university-of-strathclyde-504736
127,mechanical-engineering,140,University of Leeds,United Kingdom,Leeds,33.6,66.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-leeds-505265
128,mechanical-engineering,389,Universite de Lille,France,Lille,33.3,54.8,N/A,https://www.usnews.com/education/best-global-universities/universite-de-lille-529680
129,mechanical-engineering,605,Indian Institute of Technology (IIT) - Madras,India,Chennai,33.1,48.2,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-madras-502278
130,mechanical-engineering,"1,357",Taiyuan University of Technology,China,Taiyuan,32.8,31.1,N/A,https://www.usnews.com/education/best-global-universities/taiyuan-university-of-technology-529111
131,mechanical-engineering,5,University of Oxford,United Kingdom,Oxford,32.8,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
132,mechanical-engineering,125,Sapienza University Rome,Italy,Rome,31.4,68,"74,149",https://www.usnews.com/education/best-global-universities/sapienza-university-rome-506550
133,mechanical-engineering,615,Technical University of Darmstadt,Germany,Darmstadt,31.4,48,"15,526",https://www.usnews.com/education/best-global-universities/technical-university-of-darmstadt-506035
134,mechanical-engineering,710,Lulea University of Technology,Sweden,Lulea,30.4,45.4,N/A,https://www.usnews.com/education/best-global-universities/lulea-university-of-technology-529025
135,mechanical-engineering,129,Sun Yat Sen University,China,Guangzhou,30.4,67.5,"58,208",https://www.usnews.com/education/best-global-universities/sun-yat-sen-university-506062
136,mechanical-engineering,265,Virginia Polytechnic Institute & State University,United States,Blacksburg,30.4,59.9,"36,512",https://www.usnews.com/education/best-global-universities/virginia-polytechnic-institute-state-university-233921
137,mechanical-engineering,290,Korea University,South Korea,Seoul,30.3,58.9,N/A,https://www.usnews.com/education/best-global-universities/korea-university-505391
138,mechanical-engineering,673,Zhejiang University of Technology,China,Hangzhou,30.3,46.4,N/A,https://www.usnews.com/education/best-global-universities/zhejiang-university-of-technology-529071
139,mechanical-engineering,629,University of Stuttgart,Germany,Stuttgart,30,47.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-stuttgart-506202
140,mechanical-engineering,901,University of Shanghai for Science & Technology,China,Shanghai,29.8,40.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-shanghai-for-science-technology-529079
141,mechanical-engineering,282,China University of Geosciences,China,Wuhan,28.9,59.1,N/A,https://www.usnews.com/education/best-global-universities/china-university-of-geosciences-506930
142,mechanical-engineering,63,University of Wisconsin Madison,United States,Madison,28.8,73.8,"40,701",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444
143,mechanical-engineering,129,Seoul National University (SNU),South Korea,Seoul,28.4,67.5,"26,209",https://www.usnews.com/education/best-global-universities/seoul-national-university-snu-503456
144,mechanical-engineering,896,Indian Institute of Technology (IIT) - Roorkee,India,Roorkee,28,41,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-roorkee-528828
145,mechanical-engineering,226,Karlsruhe Institute of Technology,Germany,Karlsruhe,27.7,61.6,"22,689",https://www.usnews.com/education/best-global-universities/karlsruhe-institute-of-technology-502442
146,mechanical-engineering,120,Universidade de Sao Paulo,Brazil,Sao Paulo,27.5,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437
147,mechanical-engineering,583,Indian Institute of Technology (IIT) - Bombay,India,Mumbai,27.2,48.7,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-bombay-501259
148,mechanical-engineering,79,Technical University of Munich,Germany,Munich,27.1,72.6,"33,960",https://www.usnews.com/education/best-global-universities/technical-university-of-munich-503109
149,mechanical-engineering,739,Isfahan University of Technology,Iran,Isfahan,26.8,44.6,"11,323",https://www.usnews.com/education/best-global-universities/isfahan-university-of-technology-502590
150,mechanical-engineering,69,Ecole Polytechnique Federale de Lausanne,Switzerland,Lausanne,26.6,73.2,"11,641",https://www.usnews.com/education/best-global-universities/ecole-polytechnique-federale-de-lausanne-501629
151,mechanical-engineering,717,Indian Institute of Technology (IIT) - Delhi,India,New Delhi,26.2,45.3,"9,794",https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-delhi-500856
152,mechanical-engineering,989,Chang'an University,China,Xi'an,25.9,39,N/A,https://www.usnews.com/education/best-global-universities/changan-university-529427
153,mechanical-engineering,764,Indian Institute of Technology (IIT) - Kharagpur,India,Kharagpur,25.8,44.1,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-kharagpur-500533
154,mechanical-engineering,570,Universitat Politecnica de Valencia,Spain,Valencia,25.6,49.1,"23,607",https://www.usnews.com/education/best-global-universities/universitat-politecnica-de-valencia-501850
155,mechanical-engineering,342,Eindhoven University of Technology,Netherlands,Eindhoven,24.9,56.4,N/A,https://www.usnews.com/education/best-global-universities/eindhoven-university-of-technology-501655
156,mechanical-engineering,421,Jilin University,China,Changchun,24.9,53.9,N/A,https://www.usnews.com/education/best-global-universities/jilin-university-506709
157,mechanical-engineering,304,Technical University of Berlin,Germany,Berlin,23.9,58.1,"20,243",https://www.usnews.com/education/best-global-universities/technical-university-of-berlin-506357
158,mechanical-engineering,"1,372",Arts et Metiers Institute of Technology,France,Paris,22.8,30.7,N/A,https://www.usnews.com/education/best-global-universities/arts-et-metiers-institute-of-technology-529697
159,mechanical-engineering,57,University of Minnesota Twin Cities,United States,Minneapolis,22.6,74.3,"45,276",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066
160,mechanical-engineering,912,Yeungnam University,South Korea,Gyeongsan,22.2,40.7,"19,345",https://www.usnews.com/education/best-global-universities/yeungnam-university-504367
161,mechanical-engineering,643,East China University of Science & Technology,China,Shanghai,22,47.1,"28,718",https://www.usnews.com/education/best-global-universities/east-china-university-of-science-technology-505997
162,mechanical-engineering,377,Shandong University of Science & Technology,China,Qingdao,21.5,55.1,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-of-science-technology-529480
163,mechanical-engineering,400,University of Twente,Netherlands,Enschede,21.5,54.4,"9,816",https://www.usnews.com/education/best-global-universities/university-of-twente-506687
164,mechanical-engineering,"1,309",Wroclaw University of Science & Technology,Poland,Wroclaw,21.1,32,N/A,https://www.usnews.com/education/best-global-universities/wroclaw-university-of-science-technology-502904
165,mechanical-engineering,"1,317",Ningbo University,China,Ningbo,20.7,31.8,N/A,https://www.usnews.com/education/best-global-universities/ningbo-university-529272
166,mechanical-engineering,93,University of Bristol,United Kingdom,Bristol,20.6,70.7,"25,660",https://www.usnews.com/education/best-global-universities/university-of-bristol-505342
167,mechanical-engineering,140,Kyoto University,Japan,Kyoto,19.9,66.9,N/A,https://www.usnews.com/education/best-global-universities/kyoto-university-505388
168,mechanical-engineering,"1,354",Zhejiang Sci-Tech University,China,Hangzhou,19.7,31.2,N/A,https://www.usnews.com/education/best-global-universities/zhejiang-sci-tech-university-529088
169,mechanical-engineering,698,Pusan National University,South Korea,Busan,18.9,45.7,N/A,https://www.usnews.com/education/best-global-universities/pusan-national-university-501725
170,mechanical-engineering,"1,082",National University of Defense Technology - China,China,Changsha,18.7,37,N/A,https://www.usnews.com/education/best-global-universities/national-university-of-defense-technology-china-505128
171,mechanical-engineering,"1,489",Southwest Petroleum University,China,Chengdu,18.7,28,N/A,https://www.usnews.com/education/best-global-universities/southwest-petroleum-university-529461
172,mechanical-engineering,"1,407",Yanshan University,China,Qinhuangdao,18.5,29.9,"38,649",https://www.usnews.com/education/best-global-universities/yanshan-university-529086
173,mechanical-engineering,337,Chalmers University of Technology,Sweden,Gothenburg,18.3,56.7,"9,513",https://www.usnews.com/education/best-global-universities/chalmers-university-of-technology-505279
174,mechanical-engineering,385,Polytechnic University of Catalonia,Spain,Barcelona,18.2,54.9,"22,280",https://www.usnews.com/education/best-global-universities/polytechnic-university-of-catalonia-501701
175,mechanical-engineering,"1,060",Dalian Maritime University,China,Dalian,18.1,37.4,N/A,https://www.usnews.com/education/best-global-universities/dalian-maritime-university-529341
176,mechanical-engineering,450,University of Ljubljana,Slovenia,Ljubljana,18.1,53.2,"37,615",https://www.usnews.com/education/best-global-universities/university-of-ljubljana-502840
177,mechanical-engineering,551,Indian Institute of Science (IISC) - Bangalore,India,Bangalore,17.5,49.6,"3,990",https://www.usnews.com/education/best-global-universities/indian-institute-of-science-iisc-bangalore-505956
178,mechanical-engineering,879,Indian Institute of Technology (IIT) - Kanpur,India,Kanpur,16.5,41.3,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-kanpur-506622
179,mechanical-engineering,"1,498",Ecole Centrale de Lyon,France,Ecully,16,27.8,N/A,https://www.usnews.com/education/best-global-universities/ecole-centrale-de-lyon-529054
180,mechanical-engineering,564,Universidad Politecnica de Madrid,Spain,Madrid,15.6,49.2,N/A,https://www.usnews.com/education/best-global-universities/universidad-politecnica-de-madrid-500155
181,mechanical-engineering,618,Universidade Federal de Santa Catarina (UFSC),Brazil,Florianopolis,14.7,47.9,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-de-santa-catarina-ufsc-500204
182,mechanical-engineering,294,Universidade Estadual de Campinas,Brazil,Campinas,14.6,58.7,"31,199",https://www.usnews.com/education/best-global-universities/universidade-estadual-de-campinas-504975
183,mechanical-engineering,732,Warsaw University of Technology,Poland,Warsaw,14.2,44.9,"26,482",https://www.usnews.com/education/best-global-universities/warsaw-university-of-technology-502920
184,mechanical-engineering,292,Yonsei University,South Korea,Seoul,14.2,58.8,N/A,https://www.usnews.com/education/best-global-universities/yonsei-university-503801
185,mechanical-engineering,441,Hanyang University,South Korea,Seoul,14,53.4,N/A,https://www.usnews.com/education/best-global-universities/hanyang-university-500484
186,mechanical-engineering,"1,106",Indian Institute of Technology (IIT) - Guwahati,India,Guwahati,13.5,36.4,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-guwahati-528994
187,mechanical-engineering,282,Universite Toulouse III - Paul Sabatier,France,Toulouse,13.2,59.1,N/A,https://www.usnews.com/education/best-global-universities/universite-toulouse-iii-paul-sabatier-503302
188,mechanical-engineering,"1,327",National Institute of Technology Rourkela,India,Rourkela,12.8,31.7,N/A,https://www.usnews.com/education/best-global-universities/national-institute-of-technology-rourkela-529700
189,mechanical-engineering,"1,281",Xi'an University of Technology,China,Xi'an,10.5,32.6,N/A,https://www.usnews.com/education/best-global-universities/xian-university-of-technology-529477
190,mechanical-engineering,"1,506",Indian Institute of Technology (Indian School of Mines) Dhanbad,India,Dhanbad,10.1,27.7,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-indian-school-of-mines-dhanbad-529410
191,mechanical-engineering,263,Sungkyunkwan University (SKKU),South Korea,Seoul,9.3,60,"23,399",https://www.usnews.com/education/best-global-universities/sungkyunkwan-university-skku-500193
192,mechanical-engineering,821,Shiraz University,Iran,Shiraz,9,42.5,N/A,https://www.usnews.com/education/best-global-universities/shiraz-university-500400
193,mechanical-engineering,317,Technion Israel Institute of Technology,Israel,Haifa,9,57.6,"15,147",https://www.usnews.com/education/best-global-universities/technion-israel-institute-of-technology-505919
194,mechanical-engineering,"1,140",Jiangsu University of Science & Technology,China,Zhenjiang,8.3,35.6,N/A,https://www.usnews.com/education/best-global-universities/jiangsu-university-of-science-technology-529475
195,mechanical-engineering,178,Aix-Marseille Universite,France,Marseille,8.1,64.1,"70,054",https://www.usnews.com/education/best-global-universities/aix-marseille-universite-528917
196,mechanical-engineering,526,Loughborough University,United Kingdom,Loughborough,8.1,50.3,"17,130",https://www.usnews.com/education/best-global-universities/loughborough-university-506503
197,mechanical-engineering,"1,036",Chung Ang University,South Korea,Seoul,7.8,38,N/A,https://www.usnews.com/education/best-global-universities/chung-ang-university-500565
198,mechanical-engineering,920,Universite de Poitiers,France,Poitiers,5.5,40.5,N/A,https://www.usnews.com/education/best-global-universities/universite-de-poitiers-501414
199,mechanical-engineering,"1,734",Lanzhou University of Technology,China,Lanzhou,5.4,22.1,N/A,https://www.usnews.com/education/best-global-universities/lanzhou-university-of-technology-529641
200,mechanical-engineering,639,National Cheng Kung University,Taiwan,Tainan City,1,47.2,"20,080",https://www.usnews.com/education/best-global-universities/national-cheng-kung-university-502356
